      Star               S/N    ab(Cr)  [Cr/Fe]   ab(Mn)  [Mn/Fe]   ab(Co)  [Co/Fe]   ab(Ni)  [Ni/Fe]   ab(Zn)  [Zn/Fe]    ab(Y)   [Y/Fe]   ab(Zr)  [Zr/Fe]   ab(La)  [La/Fe]   ab(Ce)  [Ce/Fe]   ab(Nd)  [Nd/Fe]   ab(Sm)  [Sm/Fe]   ab(Eu)  [Eu/Fe]
        HE0317-4640       54      1.89    -1.45     1.61    -1.45     2.23    -0.36     2.52    -1.40     2.99     0.72    -0.33    -0.25     1.35     1.08    -0.01     1.15     0.95     1.69     0.46     1.29     0.21     1.53    -0.69     1.13
        HE0323-4529       41      1.00    -1.52     0.83    -1.41     1.63    -0.14     1.67    -1.43     2.52     1.07    -1.14    -0.24     0.51     1.05    -0.88     1.10    -0.03     1.54    -0.37     1.27    -0.02     2.11    -1.67     0.97
        HE0328-1047       52      1.17    -2.25     0.83    -2.31     1.61    -1.06     1.79    -2.21     2.49     0.14    -0.90    -0.89     0.59     0.25    -0.73     0.35     0.14     0.81    -0.25     0.50     0.19     1.43    -1.42     0.32
        HE0330-4004       42      2.02    -1.45     1.79    -1.40     2.58    -0.14     2.76    -1.30     3.11     0.71    -0.16    -0.20     1.43     1.03     0.06     1.09     0.99     1.61     0.54     1.24     1.09     2.28    -0.61     1.07
        HE0330-4144       46      1.89    -1.89     1.70    -1.79     2.42    -0.61     2.61    -1.74     3.11     0.40    -0.16    -0.50     1.43     0.72     0.15     0.88     1.00     1.32     0.64     1.04     1.08     1.97    -0.56     0.83
        HE0331-4939       40      1.11    -1.65     0.90    -1.58     1.69    -0.33     1.81    -1.53     2.60     0.91    -1.14    -0.47     0.54     0.84    -0.85     0.88    -0.02     1.30    -0.33     1.07     0.10     2.00    -1.59     0.81
        HE0333-4001       46      1.84    -1.19     1.58    -1.16     2.30     0.02     2.48    -1.12     2.98     1.02    -0.21     0.19     1.38     1.42     0.23     1.70     0.99     2.05     0.58     1.72     1.01     2.64    -0.66     1.47
        HE0336-3829       41      1.73    -1.19     1.55    -1.09     2.19     0.02     2.35    -1.15     2.92     1.07    -0.62    -0.11     0.99     1.14    -0.30     1.28     0.68     1.85     0.17     1.42     0.78     2.52    -1.04     1.20
        HE0337-5127       46      1.10    -1.96     0.92    -1.85     1.61    -0.69     1.77    -1.86     2.58     0.60    -1.09    -0.71     0.55     0.56    -0.81     0.64     0.05     1.08    -0.31     0.80     0.13     1.73    -1.44     0.66
        HE0338-3945       47      2.05    -1.20     1.88    -1.09     2.60     0.09     2.78    -1.05     3.17     0.98    -0.12     0.05     1.56     1.37     0.19     1.43     1.14     1.97     0.69     1.60     1.13     2.54    -0.50     1.40
        HE0339-4027       55      1.81    -2.05     1.54    -2.05     2.26    -0.86     2.46    -1.98     2.89     0.10    -0.31    -0.74     1.28     0.49     0.02     0.65     0.97     1.19     0.49     0.80     0.93     1.73    -0.78     0.52
        HE0340-3430       49      1.91    -1.81     1.67    -1.77     2.37    -0.60     2.54    -1.76     3.03     0.38    -0.25    -0.54     1.27     0.61    -0.03     0.74     0.83     1.19     0.47     0.92     0.92     1.86    -0.69     0.75
        HE0340-5355       59      0.65    -2.13     0.33    -2.17     1.05    -0.98     1.33    -2.03     2.17     0.46    -1.69    -1.04    -0.01     0.28    -1.52     0.20    -0.59     0.72    -1.01     0.38    -0.48     1.40    -2.25     0.13
        HE0341-4024       79      1.78    -2.06     1.58    -1.98     2.32    -0.77     2.52    -1.90     2.84     0.06    -0.32    -0.74     1.27     0.50    -0.00     0.65     0.85     1.10     0.51     0.83     0.94     1.75    -0.77     0.55
        HE0344+0139       42      2.28    -1.58     2.07    -1.51     2.78    -0.33     3.00    -1.43     3.19     0.40     0.15    -0.28     1.62     0.83     0.53     1.18     1.28     1.51     0.97     1.29     1.29     2.09    -0.22     1.09
        HE0347-1819       59      0.91    -1.98     0.76    -1.85     1.59    -0.56     1.65    -1.83     2.77     0.94    -0.67    -0.13     0.87     1.05    -0.38     1.23     0.47     1.67     0.00     1.28     0.52     2.29    -1.20     1.07
        HE0353-6024       53      1.10    -1.39     0.85    -1.37     1.64    -0.11     1.77    -1.30     2.47     1.04    -1.01    -0.08     0.62     1.19    -0.74     1.26     0.18     1.77    -0.17     1.50     0.27     2.44    -1.39     1.27
        HE0400-2917       61      0.88    -1.91     0.55    -1.96     1.39    -0.65     1.56    -1.81     2.34     0.62    -1.34    -0.70     0.30     0.58    -1.11     0.61    -0.26     1.04    -0.68     0.70    -0.15     1.72    -1.89     0.49
        HE0401-0138       56      0.72    -1.62     0.39    -1.67     1.14    -0.45     1.29    -1.63     2.20     0.94    -1.63    -0.53     0.02     0.76    -1.48     0.69    -0.48     1.28    -0.97     0.87    -0.45     1.88    -2.13     0.70
        HE0417-0821       62      1.63    -1.71     1.38    -1.67     2.11    -0.48     2.32    -1.60     2.99     0.73    -0.35    -0.26     1.40     1.13     0.12     1.28     0.96     1.72     0.59     1.42     1.01     2.33    -0.52     1.30
        HE0430-4404       49      2.21    -1.39     1.94    -1.37     2.76    -0.09     2.85    -1.32     3.22     0.69    -0.01    -0.18     1.67     1.14     0.40     1.31     1.26     1.75     0.90     1.48     1.25     2.31    -0.30     1.27
        HE0430-4901       50      1.13    -1.82     0.92    -1.75     1.62    -0.58     1.79    -1.73     2.54     0.66    -1.00    -0.52     0.66     0.78    -0.62     0.93     0.24     1.38    -0.23     0.99     0.24     1.95    -1.36     0.85
        HE0432-0923       74      0.76    -1.72     0.47    -1.74     1.26    -0.48     1.42    -1.65     2.28     0.86    -1.46    -0.51     0.28     0.87    -1.16     0.86    -0.31     1.30    -0.69     1.00    -0.16     2.01    -1.87     0.81
        HE0436-4008       40      1.46    -1.86     1.12    -1.91     1.90    -0.67     2.07    -1.83     2.71     0.46    -0.74    -0.63     0.90     0.66    -0.45     0.73     0.42     1.20     0.05     0.90     0.58     1.93    -1.16     0.68
        HE0441-4343       44      1.55    -1.60     1.42    -1.44     2.07    -0.32     2.24    -1.49     2.79     0.71    -0.57    -0.29     1.14     1.07    -0.27     1.08     0.67     1.61     0.22     1.24     0.67     2.18    -0.96     1.05
        HE0442-1234       77      0.16    -3.10    -0.21    -3.20     0.73    -1.78     0.82    -3.02     1.86    -0.34    -2.12    -1.96    -0.42    -0.62    -1.98    -0.75    -1.05    -0.22    -1.36    -0.45    -0.93     0.47    -2.57    -0.67
        HE0447-4858       18      2.60    -1.37     2.38    -1.31     3.15    -0.08     3.25    -1.31     3.64     0.73     0.47    -0.08     1.95     1.05     0.69     1.22     1.54     1.65     1.19     1.38     1.64     2.32    -0.00     1.18
        HE0450-4705       48      1.43    -1.14     1.12    -1.17     1.79    -0.03     2.05    -1.10     2.71     1.21    -0.83     0.03     0.78     1.28    -0.54     1.39     0.32     1.84     0.03     1.63     0.47     2.55    -1.16     1.43
        HE0454-4758       77      0.99    -1.58     0.71    -1.58     1.63    -0.19     1.69    -1.46     2.38     0.88    -1.09    -0.23     0.56     1.06    -0.82     1.12     0.04     1.56    -0.31     1.29     0.15     2.24    -1.56     1.03
        HE0501-5139       21      2.27    -1.03     2.10    -0.92     2.83     0.28     2.97    -0.91     3.38     1.15     0.13     0.26     1.65     1.42     0.31     1.52     1.19     1.99     0.87     1.74     1.31     2.68    -0.33     1.53
        HE0501-5644       41      0.89    -2.37     0.69    -2.29     1.39    -1.12     1.54    -2.29     2.44     0.25    -1.28    -1.10     0.27     0.08    -1.09     0.15    -0.24     0.59    -0.60     0.31    -0.17     1.24    -1.78     0.13
        HE0512-3835       41      0.93    -2.34     0.58    -2.41     1.48    -1.05     1.60    -2.25     2.48     0.28    -1.39    -1.23     0.32     0.11    -1.11     0.11    -0.27     0.54    -0.58     0.32    -0.15     1.24    -1.85     0.03
        HE0513-4557       19      2.16    -0.72     1.89    -0.70     2.62     0.49     2.76    -0.70     3.37     1.56     0.05     0.60     1.53     1.73     0.24     1.86     1.13     2.34     0.77     2.06     1.29     3.08    -0.42     1.86
        HE0516-3820       51      1.14    -2.20     0.91    -2.15     1.68    -0.91     1.84    -2.08     2.59     0.33    -1.01    -0.92     0.64     0.37    -0.72     0.44     0.23     0.98    -0.22     0.61     0.22     1.54    -1.41     0.41
        HE0517-1952       69      1.06    -1.99     0.79    -1.99     1.57    -0.73     1.73    -1.91     2.32     0.33    -1.51    -1.14     0.21     0.22    -1.14     0.31    -0.28     0.75    -0.64     0.47    -0.31     1.29    -1.81     0.29
        HE0519-5525       26      1.95    -1.20     1.70    -1.17     2.43     0.04     2.62    -1.11     3.17     1.09    -0.16     0.13     1.43     1.35     0.02     1.37     0.89     1.83     0.60     1.63     1.04     2.55    -0.70     1.31
        HE0520-1748       72      1.02    -2.13     0.65    -2.22     1.43    -0.97     1.61    -2.11     2.43     0.35    -1.18    -0.90     0.45     0.37    -0.90     0.46     0.06     1.00    -0.42     0.61     0.03     1.54    -1.54     0.47
        HE0524-2055       66      0.44    -2.65     0.09    -2.72     0.87    -1.47     0.98    -2.69     2.02    -0.00    -1.90    -1.55    -0.31    -0.33    -1.74    -0.33    -0.81     0.19    -1.14    -0.06    -0.70     0.87    -2.42    -0.35
        HE0534-4615       53      1.33    -2.33     1.05    -2.33     1.87    -1.04     2.05    -2.19     2.64     0.05    -0.78    -1.01     0.95     0.36    -0.49     0.35     0.46     0.89     0.03     0.54     0.56     1.56    -1.24     0.25
        HE0538-4515       41      1.93    -2.22     1.69    -2.18     2.42    -0.97     2.61    -2.12     3.03    -0.05    -0.20    -0.92     1.39     0.32     0.13     0.48     1.00     0.94     0.62     0.64     1.05     1.56    -0.56     0.45
        HE0547-4539       94      0.63    -2.03     0.32    -2.06     1.12    -0.79     1.33    -1.91     2.17     0.58    -1.47    -0.70     0.11     0.52    -1.33     0.51    -0.38     1.05    -0.69     0.82    -0.32     1.68    -1.95     0.55
        HE0858-0016       39      0.35    -2.58    -0.04    -2.70     0.85    -1.34     0.94    -2.58     2.10     0.23    -2.21    -1.72    -0.39    -0.25    -1.81    -0.25    -1.03     0.12    -1.31    -0.08    -0.86     0.87    -2.58    -0.36
        HE0926-0508      124      1.78    -1.11     1.49    -1.12     2.22     0.08     2.41    -1.06     2.78     0.96    -0.48     0.06     1.11     1.29    -0.17     1.44     0.79     2.00     0.33     1.62     0.79     2.56    -0.84     1.43
